streamflow,JPO4,JPON,JPOP,PO4JRES,PO4T2R,POPR,baseflow,%sat_area,evap,sat_def,snowpack,trans,missisquoi_Q,missisquoi_TP,missisquoi_TN,pike_Q,pike_TP,pike_TN,rock_Q,rock_TP,rock_TN,basin_TP_gps,basin_TN_gps,RandomNum,CHLAClass,ipsl-cm5a-mr.1,miroc-esm-chem.1,mri-cgcm3.1,noresm1-m.1,canesm2.1,ccsm4.1,gfdl-esm2m.1,inmcm4.1,miroc-esm.1,rcp45,rcp60,rcp85,rcp26,0_redux,100_redux,20_redux,40_redux,60_redux,64_redux,80_redux,S0_redux,S1_redux,S2_redux,S3_redux,S4_redux
38.84181181824074,2.7555288277941643,11.51916585551749,2.1413909093939143,0.0,178711.0348845923,0.1324278726566324,1.15767,1.3326559999999998,2.8670560000000003,137.31547,1.136238,0.0,39.6345018553477,0.0380854291579519,0.6178690489520855,9.030645992357703,0.0380854291579519,0.6178690489520855,1.5051076653929505,0.0380854291579519,0.6178690489520855,1.9107557121804533,30.9986480595612,0.293067152824621,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71.37865245004629,1.0508700192903728,7.464490856769845,0.7864813639534464,0.0,54997.987503747005,0.1027404203367747,2.095945,1.533031,1.066548,109.88448,1.135096,0.0,72.83535964290438,0.0,0.6477010156999389,16.5953983996491,0.0,0.6477010156999389,2.7658997332748494,0.0,0.6477010156999389,0.0,59.71586888554368,0.5694076994849712,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58.01300556398147,5.166899361198754,8.6629050412624,2.146536012776464,0.0,195414.4037769784,0.1358860892464788,1.083761,1.173649,1.875519,173.630644,0.36972,0.0,59.19694445304232,0.0461998126873166,0.6354464904993921,13.487911394364072,0.0461998126873166,0.6354464904993921,2.247985232394012,0.0461998126873166,0.6354464904993921,3.461883222015245,47.615810887307845,0.7726703909020256,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78.45012211004628,0.4113367800232317,6.363039891496837,5.177587679107126,0.0,186336.4495278777,0.1376345985584693,1.466777,1.255853,0.053073,165.096816,155.8467,0.0444699999999999,80.0511450102513,0.0375641255421936,0.6541846153260611,18.2395013947408,0.0375641255421936,0.6541846153260611,3.039916899123466,0.0375641255421936,0.6541846153260611,3.806394001216999,66.28889557587593,0.4197759322440612,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74.28877035527778,3.3036050476330363,9.151242299617335,1.422095612227488,0.0,173228.79018660073,0.1204870693046126,1.982444,1.483152,2.00453,128.215598,1.136543,0.0,75.80486770946712,0.0320727844454019,0.6503692077829875,17.271995174308962,0.0320727844454019,0.6503692077829875,2.878665862384827,0.0320727844454019,0.6503692077829875,3.077560989820189,62.40652121303835,0.8154366329781481,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.307935,0.6833341164554624,3.5093081752173334,0.7129165531634141,0.0,166251.28913744004,0.1383621204706976,1.089885,0.364211,0.037538,529.916471,6.378986,0.0,33.976219091789496,0.0351226926795158,0.6127849121405455,7.741417008255834,0.0351226926795158,0.6127849121405455,1.2902361680426389,0.0351226926795158,0.6127849121405455,1.510552280471928,26.35457522915209,0.7319402138888904,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33.324265132314814,0.4539895445036945,5.466725561544478,1.410513847208709,0.0,142348.5192127548,0.1270157061785245,1.051871,1.174058,0.4981359999999999,183.717714,68.594539,0.000444,34.00435217583144,0.0358364861017388,0.6128101905605498,7.747827078037544,0.0358364861017388,0.6128101905605498,1.291304513006257,0.0358364861017388,0.6128101905605498,1.5425272077820464,26.37748548956875,0.4452480044293452,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62.43150305861112,0.4293295473789425,3.252341977269244,0.4233516612999159,0.0,179241.1136091127,0.1376106722785128,1.439839,1.238381,0.295952,169.092155,80.76080999999999,0.00083,63.70561536592972,0.0481360990513479,0.6394976665747488,14.51520350109791,0.0481360990513479,0.6394976665747488,2.419200583516318,0.0481360990513479,0.6394976665747488,3.8816959637740047,51.56910427116521,0.6465190631687068,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
213.862289722824,0.8825467351815112,10.323313133322078,9.545488537930185,0.0,194255.45662844725,0.138131574832564,3.672249,1.596904,1.735196,85.714354,0.394254,0.0,218.2268262477796,0.1710905597069527,0.7783396101884174,49.7225680058232,0.1710905597069527,0.7783396101884174,8.287094667637199,0.1710905597069527,0.7783396101884174,47.26145550101841,215.00580110677487,0.5948851849258904,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63.50229447629629,7.561478492346027,7.71196991762669,2.762564664979061,0.0,235343.30199902577,0.115668781709185,1.660952,1.503816,1.512771,108.200469,0.013491,0.0,64.7982596696901,0.04860907278406,0.6404794402610066,14.76416043106863,0.04860907278406,0.6404794402610066,2.4606934051781044,0.04860907278406,0.6404794402610066,3.987067494385302,52.53411782674743,0.9134152604328608,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
